Time_ns,Sine_Out,Sine_Out_Normalized
5875000,-32765,-0.999908
5885000,-32678,-0.997253
5895000,-32469,-0.990875
5905000,-32137,-0.980743
5915000,-31685,-0.966949
5925000,-31113,-0.949493
5935000,-30424,-0.928467
5945000,-29621,-0.903961
5955000,-28706,-0.876038
5965000,-27466,-0.838196
5975000,-26319,-0.803192
5985000,-25072,-0.765137
5995000,-23731,-0.724213
6005000,-22301,-0.680573
6015000,-20787,-0.634369
6025000,-19195,-0.585785
6035000,-17530,-0.534973
6045000,-15446,-0.471375
6055000,-13645,-0.416412
6065000,-11793,-0.359894
6075000,-9896,-0.302002
6085000,-7962,-0.242981
6095000,-5998,-0.183044
6105000,-4011,-0.122406
6115000,-2009,-0.061310
6125000,0,0.000000
6135000,2009,0.061310
6145000,4011,0.122406
6155000,5998,0.183044
6165000,7962,0.242981
6175000,9896,0.302002
6185000,11793,0.359894
6195000,13645,0.416412
6205000,15446,0.471375
6215000,17530,0.534973
6225000,19195,0.585785
6235000,20787,0.634369
6245000,22301,0.680573
6255000,23731,0.724213
6265000,25072,0.765137
6275000,26319,0.803192
6285000,27466,0.838196
6295000,28706,0.876038
6305000,29621,0.903961
6315000,30424,0.928467
6325000,31113,0.949493
6335000,31685,0.966949
6345000,32137,0.980743
6355000,32469,0.990875
6365000,32678,0.997253
6375000,32765,0.999908
6385000,32678,0.997253
6395000,32469,0.990875
6405000,32137,0.980743
6415000,31685,0.966949
6425000,31113,0.949493
6435000,30424,0.928467
6445000,29621,0.903961
6455000,28706,0.876038
6465000,27466,0.838196
6475000,26319,0.803192
6485000,25072,0.765137
6495000,23731,0.724213
6505000,22301,0.680573
6515000,20787,0.634369
6525000,19195,0.585785
6535000,17530,0.534973
6545000,15446,0.471375
6555000,13645,0.416412
6565000,11793,0.359894
6575000,9896,0.302002
6585000,7962,0.242981
6595000,5998,0.183044
6605000,4011,0.122406
6615000,2009,0.061310
6625000,0,0.000000
6635000,-2009,-0.061310
6645000,-4011,-0.122406
6655000,-5998,-0.183044
6665000,-7962,-0.242981
6675000,-9896,-0.302002
6685000,-11793,-0.359894
6695000,-13645,-0.416412
6705000,-15446,-0.471375
6715000,-17530,-0.534973
6725000,-19195,-0.585785
6735000,-20787,-0.634369
6745000,-22301,-0.680573
6755000,-23731,-0.724213
6765000,-25072,-0.765137
6775000,-26319,-0.803192
6785000,-27466,-0.838196
6795000,-28706,-0.876038
6805000,-29621,-0.903961
6815000,-30424,-0.928467
6825000,-31113,-0.949493
6835000,-31685,-0.966949
6845000,-32137,-0.980743
6855000,-32469,-0.990875
6865000,-32678,-0.997253
6875000,-32765,-0.999908
6885000,-32678,-0.997253
6895000,-32469,-0.990875
6905000,-32137,-0.980743
6915000,-31685,-0.966949
6925000,-31113,-0.949493
6935000,-30424,-0.928467
6945000,-29621,-0.903961
6955000,-28706,-0.876038
6965000,-27466,-0.838196
6975000,-26319,-0.803192
6985000,-25072,-0.765137
6995000,-23731,-0.724213
7005000,-22301,-0.680573
7015000,-20787,-0.634369
7025000,-19195,-0.585785
7035000,-17530,-0.534973
7045000,-15446,-0.471375
7055000,-13645,-0.416412
7065000,-11793,-0.359894
7075000,-9896,-0.302002
7085000,-7962,-0.242981
7095000,-5998,-0.183044
7105000,-4011,-0.122406
7115000,-2009,-0.061310
7125000,0,0.000000
7135000,2009,0.061310
7145000,4011,0.122406
7155000,5998,0.183044
7165000,7962,0.242981
7175000,9896,0.302002
7185000,11793,0.359894
7195000,13645,0.416412
7205000,15446,0.471375
7215000,17530,0.534973
7225000,19195,0.585785
7235000,20787,0.634369
7245000,22301,0.680573
7255000,23731,0.724213
7265000,25072,0.765137
7275000,26319,0.803192
7285000,27466,0.838196
7295000,28706,0.876038
7305000,29621,0.903961
7315000,30424,0.928467
7325000,31113,0.949493
7335000,31685,0.966949
7345000,32137,0.980743
7355000,32469,0.990875
7365000,32678,0.997253
7375000,32765,0.999908
7385000,32678,0.997253
7395000,32469,0.990875
7405000,32137,0.980743
7415000,31685,0.966949
7425000,31113,0.949493
7435000,30424,0.928467
7445000,29621,0.903961
7455000,28706,0.876038
7465000,27466,0.838196
7475000,26319,0.803192
7485000,25072,0.765137
7495000,23731,0.724213
7505000,22301,0.680573
7515000,20787,0.634369
7525000,19195,0.585785
7535000,17530,0.534973
7545000,15446,0.471375
7555000,13645,0.416412
7565000,11793,0.359894
7575000,9896,0.302002
7585000,7962,0.242981
7595000,5998,0.183044
7605000,4011,0.122406
7615000,2009,0.061310
7625000,0,0.000000
7635000,-2009,-0.061310
7645000,-4011,-0.122406
7655000,-5998,-0.183044
7665000,-7962,-0.242981
7675000,-9896,-0.302002
7685000,-11793,-0.359894
7695000,-13645,-0.416412
7705000,-15446,-0.471375
7715000,-17530,-0.534973
7725000,-19195,-0.585785
7735000,-20787,-0.634369
7745000,-22301,-0.680573
7755000,-23731,-0.724213
7765000,-25072,-0.765137
7775000,-26319,-0.803192
7785000,-27466,-0.838196
7795000,-28706,-0.876038
7805000,-29621,-0.903961
7815000,-30424,-0.928467
7825000,-31113,-0.949493
7835000,-31685,-0.966949
7845000,-32137,-0.980743
7855000,-32469,-0.990875
7865000,-32678,-0.997253
7875000,-32765,-0.999908
7885000,-32678,-0.997253
7895000,-32469,-0.990875
7905000,-32137,-0.980743
7915000,-31685,-0.966949
7925000,-31113,-0.949493
7935000,-30424,-0.928467
7945000,-29621,-0.903961
7955000,-28706,-0.876038
7965000,-27466,-0.838196
7975000,-26319,-0.803192
7985000,-25072,-0.765137
7995000,-23731,-0.724213
8005000,-22301,-0.680573
8015000,-20787,-0.634369
8025000,-19195,-0.585785
8035000,-17530,-0.534973
8045000,-15446,-0.471375
8055000,-13645,-0.416412
8065000,-11793,-0.359894
8075000,-9896,-0.302002
8085000,-7962,-0.242981
8095000,-5998,-0.183044
8105000,-4011,-0.122406
8115000,-2009,-0.061310
8125000,0,0.000000
8135000,2009,0.061310
8145000,4011,0.122406
8155000,5998,0.183044
8165000,7962,0.242981
8175000,9896,0.302002
8185000,11793,0.359894
8195000,13645,0.416412
8205000,15446,0.471375
8215000,17530,0.534973
8225000,19195,0.585785
8235000,20787,0.634369
8245000,22301,0.680573
8255000,23731,0.724213
8265000,25072,0.765137
8275000,26319,0.803192
8285000,27466,0.838196
8295000,28706,0.876038
8305000,29621,0.903961
8315000,30424,0.928467
